City,Temperature (°C),Weather,Humidity (%),Wind Speed (m/s),Timestamp
Nairobi,18.93,light rain,72,0
Mombasa,24.23,broken clouds,88,3.09
Mombasa,24.23,broken clouds,88,3.09
